年度,児童数,教員数,学校数,学級数
1955,12266952,340572,26880 ,280038
1960,12590680,360660,26858 ,298760
1965,9775532,345118,25977 ,278137
1970,9493485,367941,24790 ,287426
1975,10364846,415071,24650 ,315197
1980,11826573,467953,24945 ,350841
1985,11095372,461256,25040 ,337313
1990,9373295,444218,24827 ,315426
1995,8370246,430958,24548 ,295244
2000,7366079,407598,24106 ,271693
2005,7197458,416833,23123 ,276083
2010,6993376,419776,22000 ,277503
2015,6543104,417152,20601 ,272255
2016,6483515,416973,20313 ,271764
2017,6448658,418790,20095 ,272774
2018,6427867,420659,19892 ,273647
2019,6368550,421935,19738 ,273648
2020,6300693,422554,19525 ,273117
2021,6223395,422864,19336 ,272842
2022,6151305,423440,19161 ,274076
