Depth,Train F_score,Test F_score
1,0.28059701492537314,0.3548387096774194
2,0.34328358208955223,0.3548387096774194
3,0.3761194029850746,0.3548387096774194
4,0.44776119402985076,0.3548387096774194
5,0.5283582089552239,0.3225806451612903
6,0.6507462686567164,0.2903225806451613
7,0.7880597014925373,0.22580645161290322
8,0.9134328358208955,0.2903225806451613
9,0.9671641791044776,0.12903225806451613
10,0.991044776119403,0.16129032258064516
11,0.9970149253731343,0.12903225806451613
12,1.0,0.12903225806451613
13,1.0,0.12903225806451613
14,1.0,0.12903225806451613
15,1.0,0.12903225806451613
16,1.0,0.12903225806451613
17,1.0,0.12903225806451613
18,1.0,0.12903225806451613
19,1.0,0.12903225806451613
20,1.0,0.12903225806451613
