天気概況,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均風速,平均蒸気圧,平均湿度,平均現地気圧
×,1.3242149155233671,1.248294106889389,1.3605063451881187,-0.34811269937574213,-0.48572749767027334,-0.07030177361895179,-0.48942171733070183,1.4054922001211883,0.5862224001536803,-0.7257986094376744
みぞれ時々雨一時曇,-1.5662699000817728,-1.7269823135667322,-1.3215504426560927,3.3882288833668275,-1.3553364047896335,17.083330989405287,-0.48942171733070183,-0.8244476531360471,1.5689280419380174,0.930548672160729
大雨,0.6324749596520518,0.43131246684610947,0.9425234691604493,3.2014118042296986,-1.3553364047896335,-0.07030177361895179,-0.5856755317009525,1.0469089071351003,1.6999554608425957,-0.889941132839321
大雨、雷を伴う,-0.9115874418464205,-1.239232080705073,-0.4971953260459671,5.069582595600983,-1.3553364047896335,-0.07030177361895179,0.18435498326105437,-0.49948154386740473,1.37238691358115,-2.5015222716918113
大雨後一時晴、雷を伴う,-0.45454497100287283,-0.7270943362003307,-0.17209753358000202,6.797640577619421,-1.073301083561733,-0.07030177361895179,1.628162198814817,-0.25295552993946907,1.1103320757719934,-0.7108765618557034
大雨後曇時々晴,0.8548199454678319,0.6873813390984806,1.0702404590577927,5.910259451718061,-0.7207569320268572,-0.07030177361895179,-0.2969140885901999,1.125349002475807,1.2413594946765718,-1.9046403684131088
晴,-0.4632643822113348,-0.2988783229379624,-0.6029204064529659,-0.3464643133833557,1.0917347646877391,-0.07030177361895179,0.6407113031576555,-0.6121979833906052,-0.8766601944397877,0.3907216566954276
晴、雷を伴う,1.2500999202514405,1.431200444212511,1.1979574489551363,-0.34811269937574213,1.2417388448506177,-0.07030177361895179,0.23248189044617965,0.8003828932071646,-0.5602675152613796,-0.9421682993762024
晴一時曇,-0.39895872454892783,-0.29192967531906927,-0.42462885451338567,-0.34811269937574213,0.6717924665359019,-0.07030177361895179,0.46108469957552556,-0.46726507613818585,-0.695389541006726,0.3616456080982113
晴一時曇後一時大雨、雷を伴う,1.4971499044911962,1.7360443397510479,1.453391428749823,3.3882288833668275,0.5013961266273786,-0.07030177361895179,-0.48942171733070183,1.831309860542168,0.8482772379628368,-0.05430646824913382
