,AIC,combo,rank
0,5514.084857097551,['平均気温'],735.0
1,5514.441447043302,['最高気温'],759.0
2,5514.354426267519,['最低気温'],753.0
3,5513.782847940074,['降水量'],709.0
4,5512.009234894613,['日照時間'],625.0
5,5513.598843258137,['降雪量'],694.0
6,5514.954192149027,['平均風速'],782.0
7,5511.398503593565,['平均蒸気圧'],595.0
8,5514.1142998822725,['平均湿度'],740.0
9,5509.957580379832,['平均現地気圧'],572.0
10,5515.372210271405,"['平均気温', '最高気温']",815.0
11,5515.660389283951,"['平均気温', '最低気温']",848.0
12,5515.078787549364,"['平均気温', '降水量']",788.0
13,5513.387045418292,"['平均気温', '日照時間']",674.0
14,5514.921420871656,"['平均気温', '降雪量']",779.0
15,5516.075003567774,"['平均気温', '平均風速']",879.0
16,5441.739160051033,"['平均気温', '平均蒸気圧']",431.0
17,5515.761653919276,"['平均気温', '平均湿度']",854.0
18,5511.9489792987515,"['平均気温', '平均現地気圧']",620.0
19,5516.35382599415,"['最高気温', '最低気温']",895.0
20,5515.305380968472,"['最高気温', '降水量']",807.0
21,5513.238387104866,"['最高気温', '日照時間']",663.0
22,5515.247091845861,"['最高気温', '降雪量']",799.0
23,5516.44143385363,"['最高気温', '平均風速']",901.0
24,5487.422875193924,"['最高気温', '平均蒸気圧']",447.0
25,5515.892034273706,"['最高気温', '平均湿度']",868.0
26,5511.876902543581,"['最高気温', '平均現地気圧']",618.0
27,5515.388026135477,"['最低気温', '降水量']",817.0
28,5513.865020759251,"['最低気温', '日照時間']",719.0
29,5515.13049615517,"['最低気温', '降雪量']",791.0
30,5516.34902445836,"['最低気温', '平均風速']",894.0
31,5404.128652898989,"['最低気温', '平均蒸気圧']",413.0
32,5516.00490533922,"['最低気温', '平均湿度']",873.0
33,5511.875653108495,"['最低気温', '平均現地気圧']",617.0
34,5513.714420149855,"['降水量', '日照時間']",702.0
35,5513.708895196476,"['降水量', '降雪量']",701.0
36,5515.7776227881695,"['降水量', '平均風速']",857.0
37,5511.069923270962,"['降水量', '平均蒸気圧']",591.0
38,5515.520659124966,"['降水量', '平均湿度']",836.0
39,5511.521297614782,"['降水量', '平均現地気圧']",598.0
40,5512.186022423167,"['日照時間', '降雪量']",634.0
41,5513.363996583362,"['日照時間', '平均風速']",670.0
42,5507.592291469193,"['日照時間', '平均蒸気圧']",534.0
43,5513.682475103784,"['日照時間', '平均湿度']",700.0
44,5509.708550700716,"['日照時間', '平均現地気圧']",568.0
45,5515.565059364208,"['降雪量', '平均風速']",842.0
46,5511.736007709615,"['降雪量', '平均蒸気圧']",608.0
47,5514.4422162944575,"['降雪量', '平均湿度']",760.0
48,5510.857910141087,"['降雪量', '平均現地気圧']",588.0
49,5512.509978491401,"['平均風速', '平均蒸気圧']",644.0
50,5515.829334081503,"['平均風速', '平均湿度']",862.0
51,5511.810193147897,"['平均風速', '平均現地気圧']",612.0
52,5505.059506891204,"['平均蒸気圧', '平均湿度']",494.0
53,5501.153975724949,"['平均蒸気圧', '平均現地気圧']",477.0
54,5511.84717647835,"['平均湿度', '平均現地気圧']",615.0
55,5511.4244324043875,"['平均気温', '最高気温', '最低気温']",596.0
56,5516.723530530702,"['平均気温', '最高気温', '降水量']",912.0
57,5514.9134181528625,"['平均気温', '最高気温', '日照時間']",777.0
58,5516.055360479268,"['平均気温', '最高気温', '降雪量']",875.0
59,5517.27395449093,"['平均気温', '最高気温', '平均風速']",945.0
60,5397.017479026078,"['平均気温', '最高気温', '平均蒸気圧']",404.0
61,5517.370899773027,"['平均気温', '最高気温', '平均湿度']",955.0
62,5513.339982990203,"['平均気温', '最高気温', '平均現地気圧']",668.0
63,5516.159519349223,"['平均気温', '最低気温', '降水量']",884.0
64,5507.424973474021,"['平均気温', '最低気温', '日照時間']",529.0
65,5516.582747764215,"['平均気温', '最低気温', '降雪量']",906.0
66,5517.6601424513165,"['平均気温', '最低気温', '平均風速']",973.0
67,5405.625827613726,"['平均気温', '最低気温', '平均蒸気圧']",414.0
68,5516.027823726239,"['平均気温', '最低気温', '平均湿度']",874.0
69,5513.241131104459,"['平均気温', '最低気温', '平均現地気圧']",664.0
70,5515.151008409947,"['平均気温', '降水量', '日照時間']",793.0
71,5515.2821403760945,"['平均気温', '降水量', '降雪量']",803.0
72,5517.056401391113,"['平均気温', '降水量', '平均風速']",926.0
73,5424.331250548061,"['平均気温', '降水量', '平均蒸気圧']",425.0
74,5517.055105976841,"['平均気温', '降水量', '平均湿度']",925.0
75,5513.511304687311,"['平均気温', '降水量', '平均現地気圧']",685.0
76,5513.784328122983,"['平均気温', '日照時間', '降雪量']",710.0
77,5514.314861056325,"['平均気温', '日照時間', '平均風速']",750.0
78,5341.798701399513,"['平均気温', '日照時間', '平均蒸気圧']",260.0
79,5513.817983831431,"['平均気温', '日照時間', '平均湿度']",715.0
80,5511.679730373814,"['平均気温', '日照時間', '平均現地気圧']",606.0
81,5516.919943152359,"['平均気温', '降雪量', '平均風速']",921.0
82,5443.7357554996315,"['平均気温', '降雪量', '平均蒸気圧']",432.0
83,5516.3077443590155,"['平均気温', '降雪量', '平均湿度']",890.0
84,5512.821705656353,"['平均気温', '降雪量', '平均現地気圧']",655.0
85,5428.85108652459,"['平均気温', '平均風速', '平均蒸気圧']",427.0
86,5517.48594637179,"['平均気温', '平均風速', '平均湿度']",966.0
87,5513.751082047707,"['平均気温', '平均風速', '平均現地気圧']",707.0
88,5256.715901505284,"['平均気温', '平均蒸気圧', '平均湿度']",127.0
89,5435.843528862735,"['平均気温', '平均蒸気圧', '平均現地気圧']",429.0
90,5513.792458907202,"['平均気温', '平均湿度', '平均現地気圧']",712.0
91,5517.304965122925,"['最高気温', '最低気温', '降水量']",949.0
92,5511.74003363441,"['最高気温', '最低気温', '日照時間']",610.0
93,5517.12393071942,"['最高気温', '最低気温', '降雪量']",929.0
94,5518.348822070591,"['最高気温', '最低気温', '平均風速']",992.0
95,5406.003542287158,"['最高気温', '最低気温', '平均蒸気圧']",415.0
96,5517.781491533658,"['最高気温', '最低気温', '平均湿度']",977.0
97,5513.871687371297,"['最高気温', '最低気温', '平均現地気圧']",720.0
98,5515.005922558578,"['最高気温', '降水量', '日照時間']",784.0
99,5515.455944736822,"['最高気温', '降水量', '降雪量']",825.0
100,5517.300584331721,"['最高気温', '降水量', '平均風速']",948.0
101,5478.289488980644,"['最高気温', '降水量', '平均蒸気圧']",441.0
102,5517.210816027526,"['最高気温', '降水量', '平均湿度']",940.0
103,5513.460113481673,"['最高気温', '降水量', '平均現地気圧']",679.0
104,5513.657102958535,"['最高気温', '日照時間', '降雪量']",697.0
105,5514.033775255144,"['最高気温', '日照時間', '平均風速']",733.0
106,5384.2056110741505,"['最高気温', '日照時間', '平均蒸気圧']",375.0
107,5513.570556015699,"['最高気温', '日照時間', '平均湿度']",690.0
108,5511.70374427848,"['最高気温', '日照時間', '平均現地気圧']",607.0
109,5517.243396125731,"['最高気温', '降雪量', '平均風速']",941.0
110,5489.131779289686,"['最高気温', '降雪量', '平均蒸気圧']",448.0
111,5516.375392138755,"['最高気温', '降雪量', '平均湿度']",898.0
112,5512.697656679776,"['最高気温', '降雪量', '平均現地気圧']",649.0
113,5482.755848157887,"['最高気温', '平均風速', '平均蒸気圧']",445.0
114,5517.595610188988,"['最高気温', '平均風速', '平均湿度']",972.0
115,5513.64396811443,"['最高気温', '平均風速', '平均現地気圧']",695.0
116,5369.512056359857,"['最高気温', '平均蒸気圧', '平均湿度']",339.0
117,5479.957992862197,"['最高気温', '平均蒸気圧', '平均現地気圧']",443.0
118,5513.714923175161,"['最高気温', '平均湿度', '平均現地気圧']",703.0
119,5515.600089792964,"['最低気温', '降水量', '日照時間']",845.0
120,5515.510193316403,"['最低気温', '降水量', '降雪量']",832.0
121,5517.376897655055,"['最低気温', '降水量', '平均風速']",957.0
122,5392.084970721934,"['最低気温', '降水量', '平均蒸気圧']",393.0
123,5517.347177689674,"['最低気温', '降水量', '平均湿度']",953.0
124,5513.4096874320685,"['最低気温', '降水量', '平均現地気圧']",675.0
125,5514.138101106578,"['最低気温', '日照時間', '降雪量']",742.0
126,5515.0666192848885,"['最低気温', '日照時間', '平均風速']",786.0
127,5384.157422455545,"['最低気温', '日照時間', '平均蒸気圧']",374.0
128,5514.918894534358,"['最低気温', '日照時間', '平均湿度']",778.0
129,5511.302779829389,"['最低気温', '日照時間', '平均現地気圧']",594.0
130,5517.130313318319,"['最低気温', '降雪量', '平均風速']",930.0
131,5406.109957108289,"['最低気温', '降雪量', '平均蒸気圧']",416.0
132,5516.434761030841,"['最低気温', '降雪量', '平均湿度']",900.0
133,5512.724634090275,"['最低気温', '降雪量', '平均現地気圧']",652.0
134,5380.191582210821,"['最低気温', '平均風速', '平均蒸気圧']",356.0
