,sum,combo
757,8.0,"['平均気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
502,9.0,"['平均気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
761,12.0,"['平均気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
505,22.0,"['平均気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
760,22.0,"['平均気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
930,23.0,"['平均気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
740,26.0,"['平均気温', '最低気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
475,29.0,"['平均気温', '最低気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
736,32.0,"['平均気温', '最低気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
924,45.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
897,52.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
748,54.0,"['平均気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
698,56.0,"['平均気温', '最高気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
918,57.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
733,59.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
921,60.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
751,65.0,"['平均気温', '降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
922,68.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
741,71.0,"['平均気温', '最低気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
927,71.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
506,71.0,"['平均気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
928,73.0,"['平均気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
726,77.0,"['平均気温', '最低気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
901,78.0,"['平均気温', '最高気温', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
737,80.0,"['平均気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
1002,81.0,"['平均気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
701,83.0,"['平均気温', '最高気温', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
916,83.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
1001,84.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
440,84.0,"['平均気温', '最高気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
923,85.0,"['平均気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
762,86.0,"['平均気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
472,87.0,"['平均気温', '最低気温', '平均風速', '平均蒸気圧', '平均湿度']"
994,87.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
671,92.0,"['平均気温', '最高気温', '最低気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
221,94.0,"['平均気温', '最低気温', '平均蒸気圧', '平均湿度']"
469,94.0,"['平均気温', '最低気温', '降雪量', '平均蒸気圧', '平均湿度']"
705,94.0,"['平均気温', '最高気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
900,97.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
246,99.0,"['平均気温', '日照時間', '平均蒸気圧', '平均湿度']"
509,100.0,"['平均気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
